0 0.000 0.970 0.000, 1 0.185 2.357 -0.840, 2 0.338 1.063 0.489, 3 0.366 -1.945 1.412, 4 -0.349 -5.164 1.417, 5 -0.338 0.877 -0.489, 6 -0.461 -2.207 0.578, 7 -1.249 -5.433 1.085, 8 0.370 3.744 -1.679, 9 0.363 5.035 -2.214, 10 0.265 5.090 -2.107, 11 0.254 5.122 -2.416, 12 0.393 5.191 -2.017, 13 0.237 4.915 -2.857, 14 0.684 5.047 -1.783, 15 -0.064 3.624 -2.653, 16 -0.309 2.048 -1.935, 17 -0.648 0.590 -1.007, 18 0.804 3.865 -0.706, 19 0.904 2.410 0.231, 20 0.957 1.001 1.096,
0 0.000 0.970 0.000, 1 0.185 2.357 -0.839, 2 0.338 1.063 0.489, 3 0.256 -1.962 1.421, 4 -0.348 -5.163 1.416, 5 -0.338 0.877 -0.489, 6 -0.461 -2.206 0.578, 7 -1.249 -5.432 1.084, 8 0.370 3.744 -1.679, 9 0.362 5.035 -2.213, 10 0.264 5.090 -2.107, 11 0.253 5.122 -2.415, 12 0.393 5.191 -2.017, 13 0.236 4.915 -2.856, 14 0.683 5.047 -1.783, 15 -0.064 3.624 -2.652, 16 -0.309 2.048 -1.934, 17 -0.648 0.590 -1.007, 18 0.804 3.865 -0.706, 19 0.904 2.410 0.230, 20 0.957 1.001 1.095,
0 -0.000 0.970 0.000, 1 0.185 2.368 -0.835, 2 0.338 1.042 0.480, 3 0.256 -1.942 1.430, 4 -0.347 -5.141 1.426, 5 -0.338 0.898 -0.480, 6 -0.461 -2.186 0.587, 7 -1.247 -5.410 1.094, 8 0.369 3.765 -1.670, 9 0.359 5.065 -2.206, 10 0.264 5.111 -2.099, 11 0.253 5.143 -2.407, 12 0.392 5.211 -2.008, 13 0.235 4.935 -2.848, 14 0.673 5.104 -1.780, 15 -0.065 3.644 -2.644, 16 -0.309 2.069 -1.925, 17 -0.648 0.611 -0.998, 18 0.803 3.886 -0.697, 19 0.904 2.431 0.239, 20 0.957 1.021 1.104,
0 0.000 0.970 0.000, 1 0.185 2.357 -0.840, 2 0.338 1.063 0.489, 3 0.256 -1.963 1.422, 4 -0.346 -5.162 1.419, 5 -0.338 0.877 -0.489, 6 -0.461 -2.207 0.578, 7 -1.247 -5.431 1.087, 8 0.369 3.745 -1.679, 9 0.359 5.045 -2.215, 10 0.264 5.090 -2.107, 11 0.253 5.123 -2.416, 12 0.393 5.191 -2.017, 13 0.236 4.915 -2.857, 14 0.674 5.084 -1.789, 15 -0.065 3.624 -2.653, 16 -0.309 2.048 -1.934, 17 -0.648 0.590 -1.007, 18 0.804 3.866 -0.706, 19 0.904 2.411 0.230, 20 0.957 1.001 1.095,
0 0.000 0.970 0.000, 1 0.185 2.357 -0.840, 2 0.338 1.063 0.489, 3 0.256 -1.962 1.422, 4 -0.345 -5.161 1.420, 5 -0.338 0.877 -0.489, 6 -0.460 -2.207 0.579, 7 -1.246 -5.430 1.088, 8 0.369 3.745 -1.680, 9 0.361 5.036 -2.214, 10 0.264 5.091 -2.108, 11 0.252 5.123 -2.416, 12 0.392 5.192 -2.017, 13 0.235 4.915 -2.857, 14 0.683 5.048 -1.784, 15 -0.065 3.624 -2.653, 16 -0.309 2.048 -1.934, 17 -0.648 0.590 -1.007, 18 0.803 3.866 -0.706, 19 0.904 2.411 0.230, 20 0.957 1.001 1.095,
0 0.000 0.970 -0.000, 1 0.184 2.367 -0.836, 2 0.338 1.042 0.480, 3 0.257 -1.941 1.431, 4 -0.342 -5.136 1.430, 5 -0.338 0.898 -0.480, 6 -0.459 -2.186 0.587, 7 -1.242 -5.406 1.098, 8 0.368 3.765 -1.671, 9 0.360 5.056 -2.206, 10 0.263 5.110 -2.100, 11 0.251 5.143 -2.408, 12 0.391 5.211 -2.009, 13 0.234 4.935 -2.849, 14 0.682 5.068 -1.776, 15 -0.066 3.644 -2.644, 16 -0.310 2.068 -1.925, 17 -0.648 0.610 -0.998, 18 0.803 3.886 -0.698, 19 0.903 2.431 0.238, 20 0.957 1.022 1.104,
0 0.000 0.970 0.000, 1 0.184 2.367 -0.835, 2 0.338 1.042 0.480, 3 0.257 -1.940 1.431, 4 -0.341 -5.133 1.432, 5 -0.338 0.898 -0.480, 6 -0.459 -2.185 0.588, 7 -1.240 -5.403 1.100, 8 0.368 3.764 -1.671, 9 0.360 5.055 -2.206, 10 0.263 5.109 -2.099, 11 0.251 5.142 -2.408, 12 0.391 5.210 -2.009, 13 0.234 4.934 -2.848, 14 0.682 5.066 -1.775, 15 -0.066 3.643 -2.644, 16 -0.310 2.068 -1.925, 17 -0.648 0.610 -0.998, 18 0.802 3.885 -0.698, 19 0.903 2.431 0.238, 20 0.956 1.022 1.104,
0 0.000 0.970 0.000, 1 0.184 2.367 -0.835, 2 0.338 1.043 0.480, 3 0.257 -1.939 1.432, 4 -0.338 -5.128 1.438, 5 -0.338 0.897 -0.480, 6 -0.459 -2.184 0.588, 7 -1.237 -5.399 1.105, 8 0.369 3.764 -1.671, 9 0.361 5.054 -2.205, 10 0.263 5.109 -2.099, 11 0.252 5.141 -2.407, 12 0.392 5.209 -2.009, 13 0.235 4.933 -2.848, 14 0.682 5.066 -1.775, 15 -0.065 3.642 -2.644, 16 -0.309 2.067 -1.925, 17 -0.647 0.610 -0.998, 18 0.802 3.885 -0.698, 19 0.903 2.431 0.238, 20 0.956 1.022 1.104,
0 -0.000 0.970 0.000, 1 0.184 2.356 -0.840, 2 0.338 1.063 0.489, 3 0.257 -1.960 1.423, 4 -0.338 -5.149 1.429, 5 -0.338 0.877 -0.489, 6 -0.459 -2.205 0.579, 7 -1.237 -5.420 1.096, 8 0.368 3.743 -1.679, 9 0.362 5.026 -2.213, 10 0.263 5.088 -2.108, 11 0.252 5.120 -2.416, 12 0.392 5.189 -2.017, 13 0.242 4.882 -2.851, 14 0.682 5.045 -1.784, 15 -0.065 3.622 -2.652, 16 -0.310 2.047 -1.934, 17 -0.648 0.590 -1.007, 18 0.802 3.864 -0.706, 19 0.903 2.410 0.230, 20 0.956 1.001 1.095,
0 -0.000 0.970 0.000, 1 0.184 2.367 -0.835, 2 0.338 1.042 0.480, 3 0.257 -1.939 1.431, 4 -0.338 -5.129 1.436, 5 -0.338 0.898 -0.480, 6 -0.459 -2.184 0.588, 7 -1.237 -5.400 1.103, 8 0.368 3.764 -1.671, 9 0.362 5.047 -2.204, 10 0.263 5.109 -2.099, 11 0.251 5.141 -2.407, 12 0.391 5.210 -2.008, 13 0.241 4.903 -2.843, 14 0.682 5.066 -1.775, 15 -0.066 3.642 -2.643, 16 -0.310 2.067 -1.925, 17 -0.648 0.610 -0.998, 18 0.803 3.885 -0.698, 19 0.903 2.431 0.238, 20 0.958 0.975 1.086,
